ZONA;RESPONSABLE ZONA;TECNICO AGRICOLA RESPONSABLE;FINCA; UBICACIÓN TÉCNICA;FECHA DEL PROXIMO CORTE;Zona Agroecologica;FECHA DE SIEMBRA;FECHA DE ULTIMO CORTE;EDAD HOY MESES;NUMERO DE CORTE;VARIEDAD;AREA NETA HA;FECHA PROXIMO CORTE PPTO;TONELADAS PPTO;TONELADAS Estimadas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-420;2025/12/11;23H0;2023/12/21;2024/12/11; 10,5 ;02;CC 05-430;22,33;2025/12/20; 3.006 ; 3.126 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-430;2026/09/04;7H0;2019/08/14;2025/08/26; 2,1 ;07;CC 99-2282;20,06;2025/09/28; 2.781 ; 2.801 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-440;2026/03/05;7H0;2020/04/14;2025/03/05; 7,8 ;05;CC 05-430;4,47;2025/02/22; 719 ; 655 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-441;2026/01/25;6H1;2020/05/15;2025/01/25; 9,1 ;06;CC 11-595;9,98;2025/01/29; 1.262 ; 1.302 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-443;2026/03/05;6H1;2012/11/17;2025/03/05; 7,8 ;13;CC 01-1940;5,11;2025/02/22; 724 ; 722 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-450;2026/04/04;15H1;2023/04/15;2025/04/10; 6,6 ;03;CC 05-430;19,20;2025/04/18; 2.584 ; 2.707 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-460;2025/12/11;15H1;2019/02/01;2024/12/11; 10,5 ;07;CC 99-2282;19,28;2025/12/25; 2.536 ; 2.612 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-470;2026/10/18;15H1;2014/07/25;2025/10/03; 0,8 ;12;CC 01-1228;7,50;2025/09/18; 987 ; 994 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-473;2026/01/02;15H1;2021/01/28;2025/01/27; 9,0 ;05;VARIAS;8,70;2025/01/30; 1.250 ; 1.256 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-474;2026/01/30;15H1;2022/02/07;2025/01/30; 8,9 ;04;CC 05-430;2,87;2025/01/30; 389 ; 390 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-480;2025/10/31;6H1;2016/10/20;2024/10/31; 11,9 ;09;CC 01-1940;22,92;2025/12/04; 2.969 ; 2.992 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-490;2026/10/25;6H1;2022/10/25;2025/10/10; 0,6 ;04;CC 99-2282;10,64;2025/10/27; 1.378 ; 1.389 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-491;2026/10/29;6H1;2022/12/17;2025/10/14; 0,5 ;04;CC 05-430;10,15;2025/10/27; 1.315 ; 1.325 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-700;2026/07/12;10H3;2021/03/15;2025/06/27; 4,0 ;05;CC 01-1940;7,52;2025/06/09; 928 ; 936 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-710;2025/12/04;10H3;2019/08/26;2024/11/19; 11,3 ;06;CC 01-1940;7,22;2025/11/30; 877 ; 884 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-720;2025/11/30;7H0;2023/11/20;2024/11/15; 11,4 ;02;CC 11-0132;21,33;2025/11/25; 2.914 ; 3.093 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-730;2025/11/21;7H0;2022/12/22;2024/11/21; 11,2 ;03;CC 05-430;12,56;2025/12/10; 1.716 ; 1.884 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-731;2026/08/21;6H1;2018/09/01;2025/08/21; 2,2 ;08;CC 01-1940;4,08;2025/08/13; 537 ; 551 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-732;2026/08/21;7H0;2019/04/01;2025/08/21; 2,2 ;07;CC 99-2282;1,82;2025/07/31; 252 ; 255 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-740;2026/10/24;15H1;2012/10/02;2025/10/09; 0,6 ;14;CC 85-92;12,42;2025/09/18; 1.747 ; 1.760 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-741;2025/12/04;6H1;2012/02/22;2024/11/19; 11,3 ;14;CC 01-1940;6,18;2025/11/28; 794 ; 806 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-750;2026/03/10;5H3;2023/03/24;2025/03/10; 7,6 ;03;CC 11-595;7,40;2025/03/10; 929 ; 951 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-751;2026/08/06;10H3;2014/02/28;2025/08/06; 2,7 ;12;CC 01-1940;11,12;2025/07/30; 1.474 ; 1.574 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-760;2026/01/28;10H3;2023/02/11;2024/12/29; 10,0 ;03;CC 11-595;8,83;2025/10/31; 1.090 ; 1.099 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-770;2025/12/26;10H3;2014/02/28;2024/12/26; 10,1 ;12;CC 01-1940;3,01;2025/12/29; 372 ; 375 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
